Nummer,name,EW,S1,S2,S3,S4,D1,D2,D3,D4
04030415,Schloßgarten,2750,11.03,4.47,19.05,49.25,0.11,0.17,-0.2,-1.6
04030416,Klausenerplatz,10276,8.31,3.01,16.37,28.45,-0.4,-0.8,-0.24,-0.93
04030417,Schloßstraße,10758,5.94,2.04,9.58,18.14,-0.43,-0.6,-0.66,-3.32
04030518,Tegeler Weg,9313,8.55,3.06,13.45,32.71,-0.12,-0.54,-0.8,-2.6
04030519,Kaiserin-Augusta-Allee,5597,8.29,3.17,14.6,44.31,-0.47,-0.51,-0.7,1.06
04030620,Alt-Lietzow,8480,7,2.65,12.55,29.56,-0.45,-0.1,-0.12,-2.61
04030621,Spreestadt,2984,7.97,3.34,14.48,37.1,-0.96,0.02,-2.14,-5.08
04030622,Richard-Wagner-Straße,10186,8.3,2.78,13.8,32.17,-0.06,-1.02,0.03,-0.27
04030623,Ernst-Reuter-Platz,4544,8.19,3.24,15.01,35.12,-0.08,-0.55,-0.45,-2.41
04030724,Lietzensee,6294,6.51,2.42,8.72,18.85,-0.41,-0.42,0.22,1.6
04030725,Amtsgerichtsplatz,11822,6.09,2.17,6.99,13.76,0.26,-0.09,-0.96,-2.83
04030726,Droysenstraße,5407,6.3,2.21,7.97,17.22,-0.21,-0.5,-1,-2.32
04030827,Karl-August-Platz,11852,7.26,2.95,11.9,28.34,-0.78,-0.42,-1.61,-6.48
04030828,Savignyplatz,9315,5.62,1.75,7.79,17.82,0.19,-0.59,-0.49,-1.3
04030929,Hindemithplatz,5838,4.68,1.78,6.75,10.14,-0.86,-0.04,-0.74,-0.85
04030930,George-Grosz-Platz,5444,3.97,1.73,5.8,11.03,-0.95,-0.31,-0.24,-2.2
04030931,Breitscheidplatz,3432,5.66,1.89,7.98,15.76,-0.13,-0.49,-0.21,-0.16
04031032,Halensee,14638,6.18,2.39,7.95,16.02,-0.35,-0.15,-0.57,-3.36
04041134,Bismarckallee,4979,4.34,1.57,5.8,8.99,-0.09,-0.38,-0.35,-1.45
04041135,Hundekehle,2762,2.42,0.81,2.28,2.19,0.29,0.01,-0.5,-2.81
04041136,Hagenplatz,2990,2.22,0.62,2.64,3.12,-1.03,-0.3,0.14,-0.33
04041137,Flinsberger Platz,7729,5.73,2.25,8.25,19.35,-0.5,-0.41,0.12,1.89
04041238,Kissinger Straße,5597,4.81,2,6.56,13.9,-0.63,-0.02,-1.02,-3.82
04041240,Messelpark,1551,2.2,0.37,0.9,0,-0.12,0.37,-0.39,-1.39
04041241,Breite Straße,6952,3.64,1.5,3.98,4.46,-0.51,0.15,-0.8,-1.67
04041342,Schlangenbader Straße,3974,5.73,2.52,9.41,21.32,-1.35,-0.79,-0.97,-3.77
04041343,Binger Straße,3540,5.45,1.88,6.27,11.48,0.19,-0.41,-1.48,-0.51
04041344,Rüdesheimer Platz,10660,4.57,1.66,6.15,12.06,-0.07,-0.03,-1.1,-3.14
04051445,Eisenzahnstraße,6116,7.52,2.76,10.48,26.24,-0.16,-0.6,0.09,2.08
04051446,Preußenpark,10449,5.19,2.04,7.39,15.41,-0.39,-0.49,0.07,0.29
04051447,Ludwigkirchplatz,5173,7.05,2.4,8.27,19.28,0.11,-0.35,-0.74,0.86
04051448,Schaperstraße,8915,6.34,2.66,7.68,18.29,-0.19,-0.02,-0.9,-2.06
04051549,Rathaus Wilmersdorf,4227,7.55,2.94,9.13,20.82,-0.15,0.23,-0.83,-0.76
04051550,Leon-Jessel-Platz,5371,6.27,2.36,9.74,22.26,-0.44,-0.43,-0.44,-2.09
04051551,Brabanter Platz,4270,6.55,2.34,10.44,23.19,-0.97,-0.86,-1.59,-5.69
04051652,Nikolsburger Platz,9490,5.64,2.02,6.69,12.09,0.37,-0.31,-1.09,-2.08
04051653,Prager Platz,6623,6.71,2.27,7.55,13.26,0.1,-0.3,-0.81,-1.41
04051654,Wilhelmsaue,2941,6.17,2.39,6.6,9.54,-0.11,-0.45,-1.78,-6.98
04051655,Babelsberger Straße,6911,6.81,2.21,10.17,19.16,-0.27,-1.01,-0.99,-3.69
04051656,Hildegardstraße,7474,5.61,1.81,6.68,13.46,-0.26,-0.29,-0.17,0.79
05010101,Hakenfelde Nord,9959,6.64,1.93,11.47,28.98,-1.12,-0.52,-0.09,-1.4
05010102,Goltzstraße,5671,8.48,2.69,13.51,41.47,-1.77,-0.87,0.98,-1.15
05010103,Amorbacher Weg,7413,6.36,2.27,8.12,20.26,-0.67,-0.31,0.12,2.61
05010204,Griesingerstraße,3142,13.21,3.85,25.05,60.42,-1.36,-0.89,-0.98,-2.45
05010205,An der Tränke,1906,2.85,1.13,3.73,11.91,-0.12,0.33,0.02,4.69
05010206,Gütersloher Weg,9945,11.78,4.03,19.19,47.28,-1.61,-0.81,0.27,-1.61
05010207,Darbystraße,11116,13.26,4.35,28.46,58.39,-1.62,-0.86,0.37,-0.23
05010208,Germersheimer Platz,7464,12.7,4.23,22.91,58.71,-1.68,-0.34,1.5,1.69
05010209,An der Kappe,6014,6.11,1.83,8.81,23.63,-0.15,-0.28,1.3,4.96
05010310,Eckschanze,3761,11.15,3.51,20.93,51.53,-2.15,-1.3,1.84,3.24
05010311,Eiswerder,5500,11.61,4.22,24.02,56.09,-2.88,-1.23,-0.06,-1.17
05010312,Kurstraße,6770,13.79,4.41,28.55,62.51,-2.04,-1.13,1.45,-0.14
05010313,Ackerstraße,6497,12.17,4.46,20.16,51.09,-0.68,-0.31,-0.63,-0.86
05010314,Carl-Schurz-Straße,11671,10.75,3.66,19.39,47.62,-2.02,-0.63,0.17,-3.47
05010339,Freiheit,448,10.98,5.49,8.26,15,0.64,1.82,-0.92,-11.32
05020415,Isenburger Weg,3900,2.39,0.52,1.77,3.85,-0.64,-0.39,-0.74,-1.65
05020416,Am Heideberg,1736,5.53,1.31,7.72,21.09,-0.96,-0.62,0.42,0.36
05020417,Staakener Straße,5709,5.17,1.66,5.62,13.77,-0.01,-0.09,1.22,2.53
05020418,Spandauer Straße,3971,7.03,2.18,8.16,14.18,-1.53,-0.44,-1.77,-4.64
05020419,Magistratsweg,6897,12.64,4.19,19.12,54.14,-0.48,-0.62,-0.18,-2.7
05020420,Werkstraße,929,4.23,0.87,5.38,10.61,-1.17,-0.62,0.77,0.88
05020521,Döberitzer Weg,2876,3.37,0.89,5.08,9.35,-0.87,-0.16,-0.18,-0.03
05020522,Pillnitzer Weg,7117,14.23,4.6,30.21,64.74,-0.83,-0.71,2.7,2.4
05020523,Maulbeerallee,11613,16.55,5.83,38.73,74.01,-1.98,-0.7,1.13,-0.66
05020524,Weinmeisterhornweg,6082,5.12,1.91,5.69,15.51,-0.39,-0.13,0.25,3.05
05020625,Borkumer Straße,7417,9.17,2.56,15.32,44.47,-1.03,-1.37,0.25,-0.6
05020626,Adamstraße,17174,10.68,3.51,17.04,43.21,-1.12,-0.52,0.02,1.62
05020627,Tiefwerder,3889,10.55,3.6,22.37,54.33,-0.05,-0.21,1.75,5.44
05020628,Graetschelsteig,1985,9.36,3.7,12.14,41.44,-0.41,0.15,-0.69,-0.52
05020629,Börnicker Straße,4370,4.28,1.11,2.84,2.93,0.06,-0.31,-0.09,-3.39
05030730,Zitadellenweg,3786,5.59,1.67,12.04,22.32,-0.98,-0.28,-0.6,-4.23
05030731,Gartenfelder Straße,11499,11.64,3.83,20.51,53.72,-1.4,-0.71,0.97,1.38
05030832,Rohrdamm,11346,9.13,2.88,17.6,43.55,-1.44,-0.79,1.42,2.73
05030833,Motardstraße,1407,2.25,0.49,3.2,5.54,-1.13,-0.4,-1.65,4
05040934,Alt-Gatow,3984,2.12,0.62,2.16,3.34,-0.49,-0.16,-0.3,-0.91
05040935,Groß-Glienicker Weg,418,9.32,2.51,6.94,0,-0.54,-0.31,-2.67,0
05040936,Jägerallee,9324,2.73,0.67,1.48,2.77,-0.1,0.21,-1.06,-2.14
05040937,Kladower Damm,2148,1.83,0.7,1.26,1.63,-0.5,-0.22,-0.6,-2.4
05040938,Kafkastraße,3565,3.11,0.73,2.58,9.57,0.24,-0.04,0.86,2.92
06010101,Fichtenberg,6820,3.4,1.15,3.27,6.78,-0.55,-0.13,0,0.87
06010102,Schloßstraße,8755,5.92,2.16,7.93,18.57,0.46,0.46,-0.56,-1.2
06010103,Markelstraße,6334,6.05,2.03,6.47,15.02,0.1,-0.23,-0.89,-2.46
06010204,Munsterdamm,6830,7.69,2.84,10.12,24.94,0.06,0.1,-1.07,-0.94
06010205,Südende,9627,7.12,2.27,8.9,21.04,-0.01,-0.49,-0.07,-0.43
06010206,Stadtpark,7638,6.48,2.46,8.08,20.77,-0.13,-0.03,-0.22,0.55
06010207,Mittelstraße,7863,6.65,2.22,8.3,21.87,0.03,-0.53,-0.79,-0.73
06010208,Bergstraße,6433,6.63,2,8.52,17.6,-0.66,-0.69,-1.18,-2.99
06010209,Feuerbachstraße,9055,6.53,2.22,8.63,20.97,-0.36,-0.17,-0.34,-1.23
06010210,Bismarckstraße,4887,7.32,2.54,9.27,22.22,-0.77,-0.72,-1.61,-2.59
06020301,Alt-Lankwitz,4985,7.14,2.63,9.25,18.62,0.32,-0.23,0.36,-0.4
06020302,Komponistenviertel Lankwitz,5391,5.44,1.83,5.4,14.98,0.15,0.15,-0.13,0.44
06020303,Lankwitz Kirche,7249,8.93,3.38,11.6,30.96,0.83,-0.17,-0.81,-2.59
06020304,Kaiser-Wilhelm-Straße,6887,7.93,2.87,10.38,26.98,-0.25,0.25,-0.85,-0.99
06020305,Gemeindepark Lankwitz,11139,8.16,2.9,12.61,33,-0.54,-0.35,-0.9,-2.96
06020306,Lankwitz Süd,6415,4.73,1.63,5.36,14.54,0.28,-0.01,-0.46,0.97
06020407,Thermometersiedlung,4824,11.62,4.28,20.34,60.57,0.09,-0.53,-0.57,-0.94
06020408,Lichterfelde Süd,6477,7.11,2.59,9.68,27.27,0.02,-0.35,0.19,0.01
06020409,Königsberger Straße,8222,5.81,2.08,5.59,14.05,-0.31,-0.32,-0.57,-0.9
06020410,Oberhofer Platz,6884,4.13,1.44,3.85,7.21,0,0.04,-0.18,1.2
06020411,Schütte-Lanz-Straße,8445,4.57,2.09,5.49,12.58,-0.36,0.01,-0.75,-2.11
06030501,Berlepschstraße,5582,3.68,1.04,3.92,10.2,-0.07,0.29,-0.22,-0.37
06030502,Zehlendorf Süd,5450,6.92,2.28,8.24,23.5,0.61,0.32,-1.63,-4.44
06030503,Zehlendorf Mitte,11272,4.81,1.64,6.09,14.31,0.04,-0.12,-0.42,0.47
06030504,Teltower Damm,10958,3.16,0.72,2.92,6.26,0.18,-0.08,0.03,-0.02
06030605,Botanischer Garten,6933,5.56,2.22,5.5,14.25,0.22,0.25,-0.38,1.59
06030606,Hindenburgdamm,5275,6.93,2.74,7.89,18.03,-0.38,-0.58,-1.48,-3.27
06030607,Goerzwerke,3241,3.46,1.02,3.58,11.14,0.19,0.05,-0.08,0.6
06030608,Schweizer Viertel,11970,3.25,1.12,2.02,2.34,-0.19,-0.05,-0.05,0.18
06030609,Augustaplatz,11847,5.27,1.86,5.28,13.04,0.16,0.09,-0.22,1.66
06030610,Lichterfelde West,8159,3.34,1.18,3.05,4.96,-0.06,-0.02,-0.13,-0.66
06040701,Wannsee,9631,2.9,0.81,2.32,3.84,0.01,0.14,-0.19,-0.18
06040702,Düppel,5360,2.73,0.78,3.26,3.65,-0.08,-0.1,-0.53,-1.27
06040703,Nikolassee,10716,2.98,0.88,2.41,4.01,0.21,0.3,-0.32,-0.3
06040804,Krumme Lanke,7483,2.78,0.87,1.43,2.46,0.24,0.05,-0.51,-0.71
06040805,Fischerhüttenstraße,5278,3.1,0.96,3.03,5.41,0.06,-0.1,-0.14,0.87
06040806,Fischtal,7227,3.24,1.12,2.68,3.59,0.13,0.35,-0.09,-0.64
06040807,Zehlendorf Eiche,5753,4.24,1.25,4.12,6.15,0.31,-0.07,-0.48,-0.43
06040808,Hüttenweg,4150,2.45,0.5,1.88,3.15,-0.21,-0.16,-0.96,-1.17
06040809,Thielallee,4969,1.49,0.2,1.57,1.84,-0.29,-0.23,0.07,0.43
06040810,Dahlem,6854,1.81,0.54,0.83,0.63,-0.07,0.06,-0.17,-0.1
07010101,Wittenbergplatz/Viktoria-Luise-Platz,9397,7.19,2.4,10.57,19.37,0.08,-0.29,0.23,-0.58
07010102,Nollendorfplatz,15450,9.22,3.27,19.3,43,-0.17,-0.13,-1.85,-5.3
07010103,Barbarossaplatz,9956,6.1,1.85,9.65,18.46,-0.53,0,-0.76,-1.79
07010104,Dennewitzplatz,13512,10.7,3.89,22.88,47.73,-0.61,-0.01,-1.47,-5.18
07020201,Bayerischer Platz,10335,6.56,2.04,8.35,18.17,-0.04,-0.05,-0.44,-0.3
07020202,Volkspark (Rudolf-Wilde-Park),9832,7.76,2.31,11.75,27.63,0.11,-0.1,-1.07,-3.38
07020203,Kaiser-Wilhelm-Platz,17298,8.34,2.83,14.41,29.69,-0.46,-0.09,-0.92,-2.71
07020204,Schöneberger Insel,11395,7.81,2.35,11.9,26.67,-0.32,-0.2,-1.07,-5.38
07030301,Friedenau,23870,4.31,1.25,5.32,9.37,-0.15,-0.12,-0.2,-0.14
07030302,Ceciliengärten,9151,5.06,1.68,6.79,11.97,-0.04,-0.13,-0.12,-1.04
07030303,Grazer Platz,12073,8.31,3.01,14.98,33.06,-0.63,-0.08,-1.5,-3.64
07040401,Neu-Tempelhof,17126,7.75,2.44,11.74,24.13,0.09,0.08,0.03,0.02
07040402,Lindenhofsiedlung,2102,9.42,3.66,14.61,41.05,-1.95,-0.05,1.04,0.29
07040403,Manteuffelstraße,23418,8.57,2.89,14.37,38.16,-0.4,-0.22,-0.06,-0.48
07040404,Marienhöhe,5057,7.58,2.78,11.21,28.22,-0.28,0.28,-0.72,-2.24
07040405,Rathaus Tempelhof,10567,9.6,3.2,15.94,43.01,0.46,-0.17,0.14,-1.33
07040406,Germaniagarten,3590,14.68,5.05,25.71,65.24,-0.84,-0.26,-0.74,-4.92
07050501,Rathausstraße,15872,9.48,3.14,15.17,41.13,-0.57,-0.16,-0.38,-2.84
07050502,Fritz-Werner-Straße,7700,10.51,3.24,13.05,35.81,0.62,0.04,0.94,3.19
07050503,Eisenacher Straße,9106,8.54,2.85,11.88,32.72,-0.37,-0.33,-0.47,-1.49
07050504,Imbrosweg,5480,9.14,3.19,12.92,29.23,0.7,0.54,-1.29,-4.41
07050505,Hundsteinweg,10460,6.2,2.09,7.93,22.72,0.41,0.17,-0.79,-2.34
