Nummer,Name,EW,category,value
03020307,Buchholz,17218,D4,-3.08
03030405,Karow Nord,10576,S1,5.4
03030405,Karow Nord,10576,S2,1.68
03030405,Karow Nord,10576,S3,9.18
03030405,Karow Nord,10576,S4,19.46
03030405,Karow Nord,10576,D1,-0.97
03030405,Karow Nord,10576,D2,-0.37
03030405,Karow Nord,10576,D3,0.61
03030405,Karow Nord,10576,D4,-0.25
03030406,Alt-Karow,8157,S1,3.15
03030406,Alt-Karow,8157,S2,1
03030406,Alt-Karow,8157,S3,2.18
03030406,Alt-Karow,8157,S4,4.96
03030406,Alt-Karow,8157,D1,-0.15
03030406,Alt-Karow,8157,D2,-0.06
03030406,Alt-Karow,8157,D3,-0.2
03030406,Alt-Karow,8157,D4,0.5
03030711,Blankenburg,6745,S1,3.12
03030711,Blankenburg,6745,S2,1.13
03030711,Blankenburg,6745,S3,2.65
03030711,Blankenburg,6745,S4,4.49
03030711,Blankenburg,6745,D1,-0.95
03030711,Blankenburg,6745,D2,-0.35
03030711,Blankenburg,6745,D3,0.23
03030711,Blankenburg,6745,D4,-0.23
03030715,Heinersdorf,6583,S1,4.35
03030715,Heinersdorf,6583,S2,1.62
03030715,Heinersdorf,6583,S3,4.03
03030715,Heinersdorf,6583,S4,8.88
03030715,Heinersdorf,6583,D1,-0.3
03030715,Heinersdorf,6583,D2,-0.02
03030715,Heinersdorf,6583,D3,0.16
